feature,coefficient,abs_coefficient,feature_clean,term_rank
text__مخيب,-23.025271670071206,23.025271670071206,مخيب,Term 01
text__ضعيف,-8.80807565042438,8.80807565042438,ضعيف,Term 02
text__سييه,-8.164889755648831,8.164889755648831,سييه,Term 03
text__غير,-7.678668200148229,7.678668200148229,غير,Term 04
text__استثناييكل,7.5976414586950725,7.5976414586950725,استثناييكل,Term 05
text__ممتاز,7.58187034941208,7.58187034941208,ممتاز,Term 06
text__رايع,7.38357660164716,7.38357660164716,رايع,Term 07
text__جيد,7.179915664065934,7.179915664065934,جيد,Term 08
text__جيدالموقع,6.504979120221702,6.504979120221702,جيدالموقع,Term 09
text__سي,-6.000199960905654,6.000199960905654,سي,Term 10
text__ضعيفالموقع,-5.9480770600248185,5.9480770600248185,ضعيفالموقع,Term 11
text__ضعيفلا,-5.92723169599997,5.92723169599997,ضعيفلا,Term 12
text__ممتازه,5.802240216208765,5.802240216208765,ممتازه,Term 13
text__سيء,-5.796799843265158,5.796799843265158,سيء,Term 14
text__جميل,5.6245529152613845,5.6245529152613845,جميل,Term 15
text__اسوء,-5.573585542200559,5.573585542200559,اسوء,Term 16
text__سيي,-5.454349350316594,5.454349350316594,سيي,Term 17
text__اسوا,-5.244817052142898,5.244817052142898,اسوا,Term 18
text__لايستحق,-4.580772839264907,4.580772839264907,لايستحق,Term 19
text__ممتازكل,4.579205046466449,4.579205046466449,ممتازكل,Term 20
text__ضعيفعدم,-4.555476853557251,4.555476853557251,ضعيفعدم,Term 21
text__راقي,4.550973623601939,4.550973623601939,راقي,Term 22
text__رايعكل,4.487012630643345,4.487012630643345,رايعكل,Term 23
text__عدم,-4.426529268993166,4.426529268993166,عدم,Term 24
text__رايعه,4.42442513741381,4.42442513741381,رايعه,Term 25
text__فاي ضعيف,4.4175555339635455,4.4175555339635455,فاي ضعيف,Term 26
text__كريهه,-4.331282798572323,4.331282798572323,كريهه,Term 27
text__والهدوء,4.323839695596171,4.323839695596171,والهدوء,Term 28
text__استثناييالموقع,4.233981292203286,4.233981292203286,استثناييالموقع,Term 29
text__رايعالموقع,4.173016981599921,4.173016981599921,رايعالموقع,Term 30
text__ضعيفالنظافه,-4.171914514158387,4.171914514158387,ضعيفالنظافه,Term 31
text__ضعيفالفندق,-4.093139120534242,4.093139120534242,ضعيفالفندق,Term 32
text__شيكل,-4.064976036368429,4.064976036368429,شيكل,Term 33
text__جيدالافطار,4.060223464711088,4.060223464711088,جيدالافطار,Term 34
text__متهالك,-3.984637404026614,3.984637404026614,متهالك,Term 35
text__حشرات,-3.9709821776476937,3.9709821776476937,حشرات,Term 36
text__جيدكل,3.961309210917752,3.961309210917752,جيدكل,Term 37
text__ولا,-3.958053256524338,3.958053256524338,ولا,Term 38
text__يعجبني,-3.943480113102823,3.943480113102823,يعجبني,Term 39
text__ضعيفقربه,-3.9385734637648344,3.9385734637648344,ضعيفقربه,Term 40
